slice,case,contour,roi_name,point_count
4,P5_S5_F0809,tongue,04_P5_S5_F0809__tongue,50
4,P5_S5_F0809,upper-incisor,04_P5_S5_F0809__upper-incisor,50
4,P5_S5_F0809,upper-lip,04_P5_S5_F0809__upper-lip,50
4,P5_S5_F0809,vocal-folds,04_P5_S5_F0809__vocal-folds,50
5,P6_S5_F1117,arytenoid-cartilage,05_P6_S5_F1117__arytenoid-cartilage,50
5,P6_S5_F1117,epiglottis,05_P6_S5_F1117__epiglottis,50
5,P6_S5_F1117,lower-incisor,05_P6_S5_F1117__lower-incisor,50
5,P6_S5_F1117,lower-lip,05_P6_S5_F1117__lower-lip,50
5,P6_S5_F1117,pharynx,05_P6_S5_F1117__pharynx,50
5,P6_S5_F1117,soft-palate-midline,05_P6_S5_F1117__soft-palate-midline,50
5,P6_S5_F1117,thyroid-cartilage,05_P6_S5_F1117__thyroid-cartilage,50
5,P6_S5_F1117,tongue,05_P6_S5_F1117__tongue,50
5,P6_S5_F1117,upper-incisor,05_P6_S5_F1117__upper-incisor,50
5,P6_S5_F1117,upper-lip,05_P6_S5_F1117__upper-lip,50
5,P6_S5_F1117,vocal-folds,05_P6_S5_F1117__vocal-folds,50
6,P7_S5_F0864,arytenoid-cartilage,06_P7_S5_F0864__arytenoid-cartilage,50
6,P7_S5_F0864,epiglottis,06_P7_S5_F0864__epiglottis,50
6,P7_S5_F0864,lower-incisor,06_P7_S5_F0864__lower-incisor,50
6,P7_S5_F0864,lower-lip,06_P7_S5_F0864__lower-lip,50
6,P7_S5_F0864,pharynx,06_P7_S5_F0864__pharynx,50
6,P7_S5_F0864,soft-palate-midline,06_P7_S5_F0864__soft-palate-midline,50
6,P7_S5_F0864,thyroid-cartilage,06_P7_S5_F0864__thyroid-cartilage,50
6,P7_S5_F0864,tongue,06_P7_S5_F0864__tongue,50
6,P7_S5_F0864,upper-incisor,06_P7_S5_F0864__upper-incisor,50
6,P7_S5_F0864,upper-lip,06_P7_S5_F0864__upper-lip,50
6,P7_S5_F0864,vocal-folds,06_P7_S5_F0864__vocal-folds,50
7,P8_S5_F0792,arytenoid-cartilage,07_P8_S5_F0792__arytenoid-cartilage,50
7,P8_S5_F0792,epiglottis,07_P8_S5_F0792__epiglottis,50
7,P8_S5_F0792,lower-incisor,07_P8_S5_F0792__lower-incisor,50
7,P8_S5_F0792,lower-lip,07_P8_S5_F0792__lower-lip,50
7,P8_S5_F0792,pharynx,07_P8_S5_F0792__pharynx,50
7,P8_S5_F0792,soft-palate-midline,07_P8_S5_F0792__soft-palate-midline,50
7,P8_S5_F0792,thyroid-cartilage,07_P8_S5_F0792__thyroid-cartilage,50
7,P8_S5_F0792,tongue,07_P8_S5_F0792__tongue,50
7,P8_S5_F0792,upper-incisor,07_P8_S5_F0792__upper-incisor,50
7,P8_S5_F0792,upper-lip,07_P8_S5_F0792__upper-lip,50
7,P8_S5_F0792,vocal-folds,07_P8_S5_F0792__vocal-folds,50
8,P9_S5_F0704,arytenoid-cartilage,08_P9_S5_F0704__arytenoid-cartilage,50
8,P9_S5_F0704,epiglottis,08_P9_S5_F0704__epiglottis,50
8,P9_S5_F0704,lower-incisor,08_P9_S5_F0704__lower-incisor,50
8,P9_S5_F0704,lower-lip,08_P9_S5_F0704__lower-lip,50
8,P9_S5_F0704,pharynx,08_P9_S5_F0704__pharynx,50
8,P9_S5_F0704,soft-palate-midline,08_P9_S5_F0704__soft-palate-midline,50
8,P9_S5_F0704,thyroid-cartilage,08_P9_S5_F0704__thyroid-cartilage,50
8,P9_S5_F0704,tongue,08_P9_S5_F0704__tongue,50
8,P9_S5_F0704,upper-incisor,08_P9_S5_F0704__upper-incisor,50
8,P9_S5_F0704,upper-lip,08_P9_S5_F0704__upper-lip,50
8,P9_S5_F0704,vocal-folds,08_P9_S5_F0704__vocal-folds,50
9,P10_S5_F0859,arytenoid-cartilage,09_P10_S5_F0859__arytenoid-cartilage,50
9,P10_S5_F0859,epiglottis,09_P10_S5_F0859__epiglottis,50
9,P10_S5_F0859,lower-incisor,09_P10_S5_F0859__lower-incisor,50
9,P10_S5_F0859,lower-lip,09_P10_S5_F0859__lower-lip,50
9,P10_S5_F0859,pharynx,09_P10_S5_F0859__pharynx,50
9,P10_S5_F0859,soft-palate-midline,09_P10_S5_F0859__soft-palate-midline,50
9,P10_S5_F0859,thyroid-cartilage,09_P10_S5_F0859__thyroid-cartilage,50
9,P10_S5_F0859,tongue,09_P10_S5_F0859__tongue,50
9,P10_S5_F0859,upper-incisor,09_P10_S5_F0859__upper-incisor,50
9,P10_S5_F0859,upper-lip,09_P10_S5_F0859__upper-lip,50
9,P10_S5_F0859,vocal-folds,09_P10_S5_F0859__vocal-folds,50
